gene,n_miss,pct_miss,mean_intensity,mnar_cluster,classification,imputation_reliable,group_miss_pval
MMP24OS,25,40.32258064516129,16.322754638061575,1,MNAR,TRUE,4.997501249375312e-4
ESYT2,18,29.03225806451613,17.09806079638167,1,MNAR,TRUE,4.997501249375312e-4
ILVBL,17,27.419354838709676,17.001980863558746,1,MNAR,TRUE,0.0734632683658171
FSD2,6,9.67741935483871,17.976770440275736,0,MAR,TRUE,NA
TARS3,22,35.483870967741936,15.490947457801061,1,MNAR,TRUE,4.997501249375312e-4
VWA8,34,54.83870967741935,21.47383309660273,1,MNAR,FALSE,4.997501249375312e-4
CARNS1,9,14.516129032258066,20.226615045547863,0,MAR,TRUE,NA
MAP1LC3B2,31,50,20.71353764221978,1,MNAR,FALSE,4.997501249375312e-4
PGP,0,0,23.015437078017477,NA,Complete,TRUE,NA
DHRS7C,0,0,21.642367226717024,NA,Complete,TRUE,NA
SMTNL1,0,0,23.416071097843005,NA,Complete,TRUE,NA
NUDT19,20,32.25806451612903,17.09791443790331,1,MNAR,TRUE,0.2943528235882059
NACA,0,0,23.676872986175763,NA,Complete,TRUE,NA
SLC35A4,10,16.129032258064516,18.642132469735323,0,MAR,TRUE,NA
PDLIM1,0,0,22.355881620964436,NA,Complete,TRUE,NA
MYO1C,12,19.35483870967742,18.516876203874236,0,MAR,TRUE,NA
FXYD1,6,9.67741935483871,19.839706011679205,0,MAR,TRUE,NA
STXBP3,10,16.129032258064516,18.288080753147845,0,MAR,TRUE,NA
NDUFS8,0,0,22.652322578046167,NA,Complete,TRUE,NA
PSMD11,0,0,21.814455198942156,NA,Complete,TRUE,NA
PSMD12,0,0,20.540032434070294,NA,Complete,TRUE,NA
PSMD9,0,0,18.066214507340916,NA,Complete,TRUE,NA
PGRMC1,30,48.38709677419355,18.919726629368466,1,MNAR,TRUE,0.248375812093953
CLIC1,1,1.6129032258064515,19.361113511648,0,MAR,TRUE,NA
EIF3F,0,0,19.648482229798645,NA,Complete,TRUE,NA
PDHX,0,0,23.42327342819488,NA,Complete,TRUE,NA
DCTN6,33,53.2258064516129,15.851338852853868,1,MNAR,FALSE,0.06196901549225387
IPO5,0,0,21.66446742487049,NA,Complete,TRUE,NA
EEF2K,12,19.35483870967742,16.354842732178202,1,MNAR,TRUE,0.018490754622688656
EML1,0,0,20.485682844770555,NA,Complete,TRUE,NA
DNM1L,0,0,20.235663017299274,NA,Complete,TRUE,NA
RTCA,0,0,20.818312226148507,NA,Complete,TRUE,NA
NDUFA4,0,0,26.116559230226343,NA,Complete,TRUE,NA
PSMD14,0,0,20.663527261759103,NA,Complete,TRUE,NA
BIN1,0,0,26.342846290919518,NA,Complete,TRUE,NA
KPNA3,1,1.6129032258064515,21.01352671343133,0,MAR,TRUE,NA
DDX3X,0,0,19.580336155500508,NA,Complete,TRUE,NA
KPNA4,0,0,22.955674440569005,NA,Complete,TRUE,NA
CES2,10,16.129032258064516,20.52383492903168,0,MAR,TRUE,NA
FBP2,0,0,26.022893436348287,NA,Complete,TRUE,NA
PDXK,1,1.6129032258064515,19.267403648994886,0,MAR,TRUE,NA
SDHD,1,1.6129032258064515,23.240403271339733,0,MAR,TRUE,NA
COX7A2L,29,46.774193548387096,16.514528748686246,1,MNAR,TRUE,0.005997001499250375
GAPDHS,24,38.70967741935484,19.680023293975438,1,MNAR,TRUE,0.06096951524237881
HSPB6,0,0,27.086898533911057,NA,Complete,TRUE,NA
NDUFAB1,0,0,23.440311678779256,NA,Complete,TRUE,NA
IMPA2,0,0,22.349149410802998,NA,Complete,TRUE,NA
PDCD5,0,0,20.86884256294058,NA,Complete,TRUE,NA
PRMT5,1,1.6129032258064515,20.03073803795995,0,MAR,TRUE,NA
PSMA7,0,0,23.64738948420613,NA,Complete,TRUE,NA
OPLAH,4,6.451612903225806,18.9450840106227,0,MAR,TRUE,NA
MGST3,0,0,24.549190789285152,NA,Complete,TRUE,NA
RGS12,3,4.838709677419355,20.53536203173077,0,MAR,TRUE,NA
HAT1,18,29.03225806451613,18.907332099263144,0,MAR,TRUE,NA
UQCRQ,0,0,25.025463031312604,NA,Complete,TRUE,NA
MYL12B,0,0,20.981718339785854,NA,Complete,TRUE,NA
UQCR11,0,0,21.528800713601452,NA,Complete,TRUE,NA
CASQ2,0,0,25.648945580980442,NA,Complete,TRUE,NA
HGS,16,25.806451612903224,16.34969337995917,1,MNAR,TRUE,0.010994502748625687
HNRNPDL,0,0,18.64365148395448,NA,Complete,TRUE,NA
XPO1,2,3.225806451612903,18.79344701236952,0,MAR,TRUE,NA
ATP2A1,0,0,28.305827802846444,NA,Complete,TRUE,NA
SYNJ2,0,0,22.912246699632803,NA,Complete,TRUE,NA
SYNM,0,0,21.19761716386644,NA,Complete,TRUE,NA
ARPC1B,13,20.967741935483872,17.154996493577244,1,MNAR,TRUE,0.02448775612193903
ARPC2,39,62.903225806451616,16.832492238686193,1,MNAR,FALSE,9.995002498750624e-4
PGRMC2,0,0,21.23856878528546,NA,Complete,TRUE,NA
PFDN6,0,0,20.45181575724457,NA,Complete,TRUE,NA
NDUFA1,15,24.193548387096776,20.909117570069856,0,MAR,TRUE,NA
SURF4,2,3.225806451612903,24.398244316094097,0,MAR,TRUE,NA
MAPK13,40,64.51612903225806,19.483422662807016,1,MNAR,FALSE,4.997501249375312e-4
TCAP,0,0,20.98592500794943,NA,Complete,TRUE,NA
PMM2,3,4.838709677419355,17.933872193265117,0,MAR,TRUE,NA
EIF3D,5,8.064516129032258,18.868719232361066,0,MAR,TRUE,NA
EIF3H,14,22.58064516129032,15.830155761995355,1,MNAR,TRUE,0.005997001499250375
BCAT2,1,1.6129032258064515,20.963866483511193,0,MAR,TRUE,NA
STX7,7,11.29032258064516,17.03911379145155,0,MAR,TRUE,NA
SLC16A3,2,3.225806451612903,20.282062128979895,0,MAR,TRUE,NA
YKT6,4,6.451612903225806,19.018965356896967,0,MAR,TRUE,NA
ARPC5,24,38.70967741935484,17.791085367261783,1,MNAR,TRUE,0.09995002498750624
TAPBP,34,54.83870967741935,15.367643317822694,1,MNAR,FALSE,9.995002498750624e-4
DHX15,19,30.64516129032258,16.623804553564355,1,MNAR,TRUE,0.04297851074462768
CYB5B,4,6.451612903225806,21.280290609386864,0,MAR,TRUE,NA
NDUFS4,0,0,24.706122079982734,NA,Complete,TRUE,NA
DYNC1LI2,10,16.129032258064516,16.65712230380949,1,MNAR,TRUE,0.050974512743628186
PSMD3,0,0,19.981559883255578,NA,Complete,TRUE,NA
RASA4,17,27.419354838709676,19.749795736067988,0,MAR,TRUE,NA
HNRNPR,2,3.225806451612903,19.248784015259464,0,MAR,TRUE,NA
TXNL1,0,0,21.09380765052336,NA,Complete,TRUE,NA
TPD52L2,2,3.225806451612903,19.98396440033644,0,MAR,TRUE,NA
ERI3,9,14.516129032258066,18.90651817912306,0,MAR,TRUE,NA
AKR7A2,0,0,21.112563354843815,NA,Complete,TRUE,NA
LAT,0,0,24.547563934866282,NA,Complete,TRUE,NA
DENR,0,0,20.95462291549792,NA,Complete,TRUE,NA
DNPH1,1,1.6129032258064515,21.71316402737332,0,MAR,TRUE,NA
TIMM44,0,0,20.837347493651833,NA,Complete,TRUE,NA
TRAPPC3,43,69.35483870967742,16.109047657896568,1,MNAR,FALSE,0.006496751624187906
CHMP2A,2,3.225806451612903,19.414717343236738,0,MAR,TRUE,NA
NDUFB5,0,0,23.47076261908982,NA,Complete,TRUE,NA
NDUFB3,0,0,23.907251558929214,NA,Complete,TRUE,NA
NDUFA2,0,0,24.547412926946382,NA,Complete,TRUE,NA
BUB3,28,45.16129032258064,16.052732834317403,1,MNAR,TRUE,4.997501249375312e-4
ACTN4,0,0,24.42823421907383,NA,Complete,TRUE,NA
GSTZ1,12,19.35483870967742,19.95317195238052,0,MAR,TRUE,NA
PRKAB2,0,0,19.88838991777242,NA,Complete,TRUE,NA
AP1G1,30,48.38709677419355,16.557112592969652,1,MNAR,TRUE,4.997501249375312e-4
SYNGR2,11,17.741935483870968,20.20047805424359,0,MAR,TRUE,NA
SGTA,0,0,22.26328278747868,NA,Complete,TRUE,NA
ENSA,3,4.838709677419355,21.596879597918168,0,MAR,TRUE,NA
SLC25A20,0,0,20.89762141434497,NA,Complete,TRUE,NA
NARS1,5,8.064516129032258,20.29269216378014,0,MAR,TRUE,NA
LANCL1,0,0,21.531222930812344,NA,Complete,TRUE,NA
SLC37A4,3,4.838709677419355,18.57069493000803,0,MAR,TRUE,NA
IDH3B,0,0,22.76686972142136,NA,Complete,TRUE,NA
CALU,0,0,21.557429532162832,NA,Complete,TRUE,NA
AHCYL1,0,0,19.524209763519263,NA,Complete,TRUE,NA
NDUFS5,0,0,22.691737646733603,NA,Complete,TRUE,NA
TIMM8A,14,22.58064516129032,19.69133343990378,0,MAR,TRUE,NA
PPP1R12B,29,46.774193548387096,15.587117234834826,1,MNAR,TRUE,0.23438280859570215
PRPSAP2,4,6.451612903225806,22.95622542530498,0,MAR,TRUE,NA
SPAG9,9,14.516129032258066,15.834944997529615,1,MNAR,TRUE,0.11144427786106946
OPA1,0,0,21.037833403134485,NA,Complete,TRUE,NA
TBC1D4,17,27.419354838709676,17.522069227661746,1,MNAR,TRUE,0.0024987506246876563
SNX3,0,0,20.771811801963842,NA,Complete,TRUE,NA
SYNCRIP,11,17.741935483870968,18.606462988651145,0,MAR,TRUE,NA
SELENOF,42,67.74193548387096,13.635040036446238,1,MNAR,FALSE,4.997501249375312e-4
KLHL41,0,0,25.34996407270615,NA,Complete,TRUE,NA
