uniprot_id,protein,gene,description
Q9H7C9,AAMDC_HUMAN,AAMDC,Mth938 domain-containing protein
Q13685,AAMP_HUMAN,AAMP,Angio-associated migratory cell protein
P49588,SYAC_HUMAN,AARS1,"Alanine--tRNA ligase, cytoplasmic"
Q9BTE6,AASD1_HUMAN,AARSD1,Alanyl-tRNA editing protein Aarsd1
Q9NRN7,ADPPT_HUMAN,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
P61221,ABCE1_HUMAN,ABCE1,ATP-binding cassette sub-family E member 1
Q8NE71,ABCF1_HUMAN,ABCF1,ATP-binding cassette sub-family F member 1
Q9NUJ1,ABHDA_HUMAN,ABHD10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"
Q8NFV4,ABHDB_HUMAN,ABHD11,Protein ABHD11
Q96IU4,ABHEB_HUMAN,ABHD14B,Protein ABHD14B
O95870,ABHGA_HUMAN,ABHD16A,Phosphatidylserine lipase ABHD16A
Q9BV23,ABHD6_HUMAN,ABHD6,Monoacylglycerol lipase ABHD6
Q6H8Q1,ABLM2_HUMAN,ABLIM2,Actin-binding LIM protein 2
Q15018,ABRX2_HUMAN,ABRAXAS2,BRISC complex subunit Abraxas 2
P09110,THIK_HUMAN,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal"
P42765,THIM_HUMAN,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial"
Q13085,ACACA_HUMAN,ACACA,Acetyl-CoA carboxylase 1
Q9UKU7,ACAD8_HUMAN,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial"
Q9H845,ACAD9_HUMAN,ACAD9,"Complex I assembly factor ACAD9, mitochondrial"
P11310,ACADM_HUMAN,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
P16219,ACADS_HUMAN,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"
P45954,ACDSB_HUMAN,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
P49748,ACADV_HUMAN,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
P24752,THIL_HUMAN,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial"
P21399,ACOC_HUMAN,ACO1,Cytoplasmic aconitate hydratase
Q99798,ACON_HUMAN,ACO2,"Aconitate hydratase, mitochondrial"
Q86TX2,ACOT1_HUMAN,ACOT1,Acyl-coenzyme A thioesterase 1
Q9NPJ3,ACO13_HUMAN,ACOT13,Acyl-coenzyme A thioesterase 13
P49753,ACOT2_HUMAN,ACOT2,"Acyl-coenzyme A thioesterase 2, mitochondrial"
Q9Y305,ACOT9_HUMAN,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial"
P24666,PPAC_HUMAN,ACP1,Low molecular weight phosphotyrosine protein phosphatase
Q96CM8,ACSF2_HUMAN,ACSF2,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial"
P33121,ACSL1_HUMAN,ACSL1,Long-chain-fatty-acid--CoA ligase 1
O95573,ACSL3_HUMAN,ACSL3,Long-chain-fatty-acid--CoA ligase 3
