uniprot_id,gene,group,z,module
P26038,MSN,Young_Pre,-0.10369704995605317,blue
P26038,MSN,Young_Post,1.3703384643783925,blue
P26038,MSN,Old_Pre,-1.0265313241269278,blue
P26038,MSN,Old_Post,-0.24011009029546793,blue
Q00765,REEP5,Young_Pre,0.06106670302992586,blue
Q00765,REEP5,Young_Post,1.3921494696842562,blue
Q00765,REEP5,Old_Pre,-0.6929028232677182,blue
Q00765,REEP5,Old_Post,-0.7603133494464791,blue
Q14204,DYNC1H1,Young_Pre,-0.09461241169887487,blue
Q14204,DYNC1H1,Young_Post,1.4185384118773248,blue
Q14204,DYNC1H1,Old_Pre,-0.8882451675338212,blue
Q14204,DYNC1H1,Old_Post,-0.4356808326446017,blue
Q14974,KPNB1,Young_Pre,0.28855693533421367,blue
Q14974,KPNB1,Young_Post,1.291403634816996,blue
Q14974,KPNB1,Old_Pre,-0.8108829815013255,blue
Q14974,KPNB1,Old_Post,-0.7690775886498696,blue
O75923,DYSF,Young_Pre,0.09708217396984868,blue
O75923,DYSF,Young_Post,1.361988277765925,blue
O75923,DYSF,Old_Pre,-0.9181084094880398,blue
O75923,DYSF,Old_Post,-0.5409620422477338,blue
P10636,MAPT,Young_Pre,0.2378235862268177,blue
P10636,MAPT,Young_Post,1.3100011961571858,blue
P10636,MAPT,Old_Pre,-0.8952714234473264,blue
P10636,MAPT,Old_Post,-0.6525533589366893,blue
P11142,HSPA8,Young_Pre,0.1871815544568856,blue
P11142,HSPA8,Young_Post,1.3387655648468433,blue
P11142,HSPA8,Old_Pre,-0.8278292556070593,blue
P11142,HSPA8,Old_Post,-0.6981178636967247,blue
E9PAV3,NACA,Young_Pre,0.2384865400901741,blue
E9PAV3,NACA,Young_Post,1.3028131903609594,blue
E9PAV3,NACA,Old_Pre,-0.9409430413557404,blue
E9PAV3,NACA,Old_Post,-0.6003566890953457,blue
P48643,CCT5,Young_Pre,-0.556805880615259,blue
P48643,CCT5,Young_Post,1.274972073745804,blue
P48643,CCT5,Old_Pre,-0.994115411492151,blue
P48643,CCT5,Old_Post,0.27594921836160613,blue
P68363,TUBA1B,Young_Pre,-0.5204832865395009,blue
P68363,TUBA1B,Young_Post,1.352790873152776,blue
P68363,TUBA1B,Old_Pre,-0.9418371783306404,blue
P68363,TUBA1B,Old_Post,0.10952959171734129,blue
P55072,VCP,Young_Pre,0.6090220569426025,blue
P55072,VCP,Young_Post,1.0892820612803893,blue
