gene,pathway,database,cluster
FSD2,Unmapped,NA,C1
MAP1LC3B2,Unmapped,NA,C1
SLC35A4,Unmapped,NA,C1
PDLIM1,cytoskeleton organization,GO:BP,C1
STXBP3,Unmapped,NA,C1
DDX3X,chromatin remodeling,GO:BP,C1
HNRNPDL,Unmapped,NA,C1
SYNM,cytoskeleton organization,GO:BP,C1
ARPC2,cytoskeleton organization,GO:BP,C1
TCAP,HALLMARK_MYOGENESIS,Hallmark,C1
EIF3D,translational initiation,GO:BP,C1
TAPBP,Unmapped,NA,C1
RASA4,Unmapped,NA,C1
DENR,translational initiation,GO:BP,C1
ACTN4,cytoskeleton organization,GO:BP,C1
ENSA,Unmapped,NA,C1
SELENOF,Unmapped,NA,C1
LDB3,HALLMARK_MYOGENESIS,Hallmark,C1
CILP,negative regulation of gene expression,GO:BP,C1
BANF1,negative regulation of gene expression,GO:BP,C1
CSDE1,translational initiation,GO:BP,C1
PRKRA,negative regulation of gene expression,GO:BP,C1
TCEA3,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
PIAS2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
SNCG,Unmapped,NA,C1
UFL1,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
ERLIN2,Unmapped,NA,C1
EPM2A,chromatin remodeling,GO:BP,C1
VAPB,Unmapped,NA,C1
ARIH2,Unmapped,NA,C1
SVIL,HALLMARK_MYOGENESIS,Hallmark,C1
LSM8,RNA splicing,GO:BP,C1
BAG3,Unmapped,NA,C1
MT-CO1,Unmapped,NA,C1
HLA-B,Unmapped,NA,C1
COL1A1,HALLMARK_MYOGENESIS,Hallmark,C1
COL3A1,HALLMARK_MYOGENESIS,Hallmark,C1
COL4A1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
LMNA,cytoskeleton organization,GO:BP,C1
TNNC2,HALLMARK_MYOGENESIS,Hallmark,C1
VWF,HALLMARK_APICAL_JUNCTION,Hallmark,C1
EIF2S1,negative regulation of translation,GO:BP,C1
RPLP1,Unmapped,NA,C1
RPLP2,Unmapped,NA,C1
RPLP0,Unmapped,NA,C1
SSB,negative regulation of gene expression,GO:BP,C1
KRT18,cytoskeleton organization,GO:BP,C1
MYL1,HALLMARK_MYOGENESIS,Hallmark,C1
PYGL,Unmapped,NA,C1
NPM1,cytoskeleton organization,GO:BP,C1
TPM3,HALLMARK_MYOGENESIS,Hallmark,C1
H1-0,chromatin remodeling,GO:BP,C1
APRT,Unmapped,NA,C1
TPM2,HALLMARK_MYOGENESIS,Hallmark,C1
COL1A2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
CTSG,extracellular structure organization,GO:BP,C1
COL4A2,HALLMARK_MYOGENESIS,Hallmark,C1
MYL3,HALLMARK_MYOGENESIS,Hallmark,C1
NFIC,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
VIM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
RPS17,rRNA processing,GO:BP,C1
RPSA,Unmapped,NA,C1
SNRPA,RNA splicing,GO:BP,C1
LGALS1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
TPM1,sarcomere organization,GO:BP,C1
HMOX1,anatomical structure formation involved in morphogenesis,GO:BP,C1
PARP1,tissue development,GO:BP,C1
LIMS3,Unmapped,NA,C1
CALM1,system process,GO:BP,C1
THRB,tissue development,GO:BP,C1
MYL2,HALLMARK_MYOGENESIS,Hallmark,C1
LAMC1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
MYH3,HALLMARK_MYOGENESIS,Hallmark,C1
DBT,Unmapped,NA,C1
COL6A1,anatomical structure formation involved in morphogenesis,GO:BP,C1
COL6A2,HALLMARK_MYOGENESIS,Hallmark,C1
COL6A3,HALLMARK_MYOGENESIS,Hallmark,C1
ACTN1,cytoskeleton organization,GO:BP,C1
MYH1,HALLMARK_MYOGENESIS,Hallmark,C1
MYH7,HALLMARK_MYOGENESIS,Hallmark,C1
XRCC6,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
MYH8,HALLMARK_MYOGENESIS,Hallmark,C1
TNNT1,HALLMARK_MYOGENESIS,Hallmark,C1
NID1,extracellular structure organization,GO:BP,C1
MYL6B,HALLMARK_MYOGENESIS,Hallmark,C1
HNRNPL,RNA splicing,GO:BP,C1
RPA2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
NQO2,Unmapped,NA,C1
PFKFB1,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
DES,HALLMARK_MYOGENESIS,Hallmark,C1
FLT1,anatomical structure formation involved in morphogenesis,GO:BP,C1
ARF4,system process,GO:BP,C1
RPL7,rRNA processing,GO:BP,C1
RPL17,Unmapped,NA,C1
TNNI1,HALLMARK_MYOGENESIS,Hallmark,C1
NCL,anatomical structure formation involved in morphogenesis,GO:BP,C1
EIF2S2,translational initiation,GO:BP,C1
TPSB2,Unmapped,NA,C1
PVALB,HALLMARK_MYOGENESIS,Hallmark,C1
CAPN3,sarcomere organization,GO:BP,C1
NEB,cytoskeleton organization,GO:BP,C1
BGN,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
TGM2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
NME2,tissue development,GO:BP,C1
FDXR,Unmapped,NA,C1
HNRNPA2B1,RNA splicing,GO:BP,C1
FECH,Unmapped,NA,C1
AMPD1,Unmapped,NA,C1
SFPQ,chromatin remodeling,GO:BP,C1
LAMA2,HALLMARK_MYOGENESIS,Hallmark,C1
MYL9,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
RPS12,Unmapped,NA,C1
RPL13,Unmapped,NA,C1
FKBP2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
MAPK3,cytoskeleton organization,GO:BP,C1
RPL10,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
TMOD1,cytoskeleton organization,GO:BP,C1
COL4A5,extracellular structure organization,GO:BP,C1
RPL12,Unmapped,NA,C1
NMT1,Unmapped,NA,C1
HNRNPH3,RNA splicing,GO:BP,C1
HNRNPH1,RNA splicing,GO:BP,C1
RPL22,Unmapped,NA,C1
FBN1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
ACTN2,HALLMARK_MYOGENESIS,Hallmark,C1
FUS,RNA splicing,GO:BP,C1
DEK,chromatin remodeling,GO:BP,C1
MYH11,HALLMARK_MYOGENESIS,Hallmark,C1
RPL4,Unmapped,NA,C1
PPP1CC,chromatin remodeling,GO:BP,C1
SRP14,Unmapped,NA,C1
RPS19,rRNA processing,GO:BP,C1
COL15A1,HALLMARK_MYOGENESIS,Hallmark,C1
CAP2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
RPL13A,negative regulation of translation,GO:BP,C1
EIF1,translational initiation,GO:BP,C1
RPL35,rRNA processing,GO:BP,C1
TNNT3,HALLMARK_MYOGENESIS,Hallmark,C1
CRKL,cell-substrate adhesion,GO:BP,C1
RPL27A,Unmapped,NA,C1
RPL5,rRNA processing,GO:BP,C1
RPL28,Unmapped,NA,C1
RPS5,translational initiation,GO:BP,C1
CAPZA2,cytoskeleton organization,GO:BP,C1
CAPZB,cytoskeleton organization,GO:BP,C1
RPL29,Unmapped,NA,C1
TNNI2,HALLMARK_MYOGENESIS,Hallmark,C1
RPL34,Unmapped,NA,C1
AARS1,system process,GO:BP,C1
GSK3B,cytoskeleton organization,GO:BP,C1
EMD,skeletal muscle tissue development,GO:BP,C1
LRBA,Unmapped,NA,C1
BCAM,anatomical structure formation involved in morphogenesis,GO:BP,C1
RPL14,rRNA processing,GO:BP,C1
FXR1,negative regulation of translation,GO:BP,C1
DUSP3,chromatin remodeling,GO:BP,C1
CAV2,extracellular structure organization,GO:BP,C1
HSD17B4,tissue development,GO:BP,C1
RPS6KA3,chromatin remodeling,GO:BP,C1
LUM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
HNRNPA3,RNA splicing,GO:BP,C1
MYOM1,HALLMARK_MYOGENESIS,Hallmark,C1
HNRNPM,RNA splicing,GO:BP,C1
CAPZA1,cytoskeleton organization,GO:BP,C1
CRIP2,Unmapped,NA,C1
MYOM2,HALLMARK_MYOGENESIS,Hallmark,C1
RRAD,Unmapped,NA,C1
