module_color,n_proteins,display_label,bio_label,is_grey
grey,507,Grey,NA,TRUE
turquoise,345,M1: Lipid Catabolism,Lipid Catabolism,FALSE
blue,261,M2: Cell Cycle/Proteostasis,Cell Cycle/Proteostasis,FALSE
brown,197,M3: Redox/Glycolysis,Redox/Glycolysis,FALSE
yellow,165,M4: Muscle Contraction,Muscle Contraction,FALSE
green,164,M5: Oxidative Phosphorylation,Oxidative Phosphorylation,FALSE
red,146,M6: Immunity/Heme,Immunity/Heme,FALSE
black,99,M7: Translation Machinery,Translation Machinery,FALSE
pink,84,M8: Mitochondrial Biogenesis,Mitochondrial Biogenesis,FALSE
magenta,78,M9: Translation Initiation,Translation Initiation,FALSE
purple,67,M10: NA,NA,FALSE
