gene,pathway,database,cluster
FSD2,Unmapped,NA,C1
MAP1LC3B2,Unmapped,NA,C1
SLC35A4,Unmapped,NA,C1
PDLIM1,Actomyosin Structure Organization,GO:BP,C1
STXBP3,Unmapped,NA,C1
DDX3X,Membraneless Organelle Assembly,GO:BP,C1
HNRNPDL,Unmapped,NA,C1
SYNM,Muscle System Process,GO Slim,C1
ARPC2,Apical Junction,Hallmark,C1
TCAP,Striated Muscle Contraction,Reactome,C1
EIF3D,Cytoplasmic Translation,GO Slim,C1
TAPBP,Unmapped,NA,C1
RASA4,Unmapped,NA,C1
DENR,Cytoplasmic Translation,GO Slim,C1
ACTN4,Muscle Cell Differentiation,GO:BP,C1
ENSA,Unmapped,NA,C1
SELENOF,Unmapped,NA,C1
LDB3,Myofibril Assembly,GO:BP,C1
CILP,Unmapped,NA,C1
BANF1,Unmapped,NA,C1
CSDE1,Cytoplasmic Translation,GO Slim,C1
PRKRA,Ribonucleoprotein Complex Biogenesis,GO:BP,C1
TCEA3,Unmapped,NA,C1
PIAS2,Unmapped,NA,C1
SNCG,Unmapped,NA,C1
UFL1,Unmapped,NA,C1
ERLIN2,Unmapped,NA,C1
EPM2A,Unmapped,NA,C1
VAPB,Unmapped,NA,C1
ARIH2,Unmapped,NA,C1
SVIL,Muscle Organ Development,GO:BP,C1
LSM8,Mrna Splicing,Reactome,C1
BAG3,Unmapped,NA,C1
MT-CO1,Unmapped,NA,C1
HLA-B,Unmapped,NA,C1
COL1A1,Myogenesis,Hallmark,C1
COL3A1,Muscle Organ Development,GO:BP,C1
COL4A1,Ecm Proteoglycans,Reactome,C1
LMNA,Muscle Cell Differentiation,GO:BP,C1
TNNC2,Striated Muscle Contraction,Reactome,C1
VWF,Integrin Cell Surface Interactions,Reactome,C1
EIF2S1,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPLP1,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPLP2,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPLP0,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
SSB,Regulation Of Translation,GO:BP,C1
KRT18,Unmapped,NA,C1
MYL1,Striated Muscle Contraction,Reactome,C1
PYGL,Unmapped,NA,C1
NPM1,Membraneless Organelle Assembly,GO:BP,C1
TPM3,Striated Muscle Contraction,Reactome,C1
H1-0,Unmapped,NA,C1
APRT,Unmapped,NA,C1
TPM2,Striated Muscle Contraction,Reactome,C1
COL1A2,Ecm Proteoglycans,Reactome,C1
CTSG,Extracellular Matrix Organization,GO Slim,C1
COL4A2,Myogenesis,Hallmark,C1
MYL3,Striated Muscle Contraction,Reactome,C1
NFIC,Unmapped,NA,C1
VIM,Striated Muscle Contraction,Reactome,C1
RPS17,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPSA,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
SNRPA,Mrna Splicing,Reactome,C1
LGALS1,Epithelial Mesenchymal Transition,Hallmark,C1
TPM1,Striated Muscle Contraction,Reactome,C1
HMOX1,Muscle System Process,GO Slim,C1
PARP1,Muscle System Process,GO Slim,C1
LIMS3,Unmapped,NA,C1
CALM1,Muscle Contraction,Reactome,C1
THRB,Unmapped,NA,C1
MYL2,Striated Muscle Contraction,Reactome,C1
LAMC1,Muscle Cell Differentiation,GO:BP,C1
MYH3,Striated Muscle Contraction,Reactome,C1
DBT,Metabolism Of Amino Acids And Derivatives,Reactome,C1
COL6A1,Muscle Cell Differentiation,GO:BP,C1
COL6A2,Myogenesis,Hallmark,C1
COL6A3,Muscle Organ Development,GO:BP,C1
ACTN1,Muscle Cell Differentiation,GO:BP,C1
MYH1,Myogenesis,Hallmark,C1
MYH7,Muscle Organ Development,GO:BP,C1
XRCC6,Unmapped,NA,C1
MYH8,Striated Muscle Contraction,Reactome,C1
TNNT1,Striated Muscle Contraction,Reactome,C1
NID1,Muscle Cell Differentiation,GO:BP,C1
MYL6B,Muscle Organ Development,GO:BP,C1
HNRNPL,Mrna Splicing,Reactome,C1
RPA2,Unmapped,NA,C1
NQO2,Unmapped,NA,C1
PFKFB1,Unmapped,NA,C1
DES,Striated Muscle Contraction,Reactome,C1
FLT1,Unmapped,NA,C1
ARF4,Unmapped,NA,C1
RPL7,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL17,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
TNNI1,Striated Muscle Contraction,Reactome,C1
NCL,Rrna Processing,Reactome,C1
EIF2S2,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
TPSB2,Unmapped,NA,C1
PVALB,Myogenesis,Hallmark,C1
CAPN3,Myofibril Assembly,GO:BP,C1
NEB,Striated Muscle Contraction,Reactome,C1
BGN,Ecm Proteoglycans,Reactome,C1
TGM2,Epithelial Mesenchymal Transition,Hallmark,C1
NME2,Unmapped,NA,C1
FDXR,Unmapped,NA,C1
HNRNPA2B1,Mrna Splicing,Reactome,C1
FECH,Unmapped,NA,C1
AMPD1,Unmapped,NA,C1
SFPQ,RNA Splicing Via Transesterification Reactions,GO:BP,C1
LAMA2,Muscle Cell Differentiation,GO:BP,C1
MYL9,Myofibril Assembly,GO:BP,C1
RPS12,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL13,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
FKBP2,Unmapped,NA,C1
MAPK3,Unmapped,NA,C1
RPL10,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
TMOD1,Striated Muscle Contraction,Reactome,C1
COL4A5,Signaling By Robo Receptors,Reactome,C1
RPL12,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
NMT1,Unmapped,NA,C1
HNRNPH3,RNA Splicing Via Transesterification Reactions,GO:BP,C1
HNRNPH1,Mrna Splicing,Reactome,C1
RPL22,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
FBN1,Integrin Cell Surface Interactions,Reactome,C1
ACTN2,Striated Muscle Contraction,Reactome,C1
FUS,Membraneless Organelle Assembly,GO:BP,C1
DEK,Unmapped,NA,C1
MYH11,Myofibril Assembly,GO:BP,C1
RPL4,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
PPP1CC,Unmapped,NA,C1
SRP14,Translation,Reactome,C1
RPS19,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
COL15A1,Myogenesis,Hallmark,C1
CAP2,Signaling By Robo Receptors,Reactome,C1
RPL13A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
EIF1,Regulation Of Translation,GO:BP,C1
RPL35,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
TNNT3,Striated Muscle Contraction,Reactome,C1
CRKL,Signaling By Pdgf,Reactome,C1
RPL27A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL5,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL28,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPS5,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
CAPZA2,Actin Filament Organization,GO:BP,C1
CAPZB,Actin Filament Organization,GO:BP,C1
RPL29,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
TNNI2,Striated Muscle Contraction,Reactome,C1
RPL34,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
AARS1,Cytoplasmic Translation,GO Slim,C1
GSK3B,Cell Substrate Adhesion,GO:BP,C1
EMD,Muscle Organ Development,GO:BP,C1
LRBA,Unmapped,NA,C1
BCAM,Cell Substrate Adhesion,GO:BP,C1
RPL14,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
FXR1,Membraneless Organelle Assembly,GO:BP,C1
DUSP3,Cell Substrate Adhesion,GO:BP,C1
CAV2,Muscle Cell Differentiation,GO:BP,C1
HSD17B4,Unmapped,NA,C1
RPS6KA3,Regulation Of Translation,GO:BP,C1
LUM,Ecm Proteoglycans,Reactome,C1
HNRNPA3,Mrna Splicing,Reactome,C1
MYOM1,Myofibril Assembly,GO:BP,C1
HNRNPM,Mrna Splicing,Reactome,C1
